Inputs,Time,Partcp_Acc_p15,Command_Acc_p15,Partcp_Acc_p1,Command_Acc_p1,Partcp_Acc_p2,Command_Acc_p2,Partcp_Acc_p3,Command_Acc_p3,Partcp_Acc_p4,Command_Acc_p4,Partcp_Acc_p5,Command_Acc_p5,Size
MFCC,71.15154003165662,0.9521,0.9466,0.973,0.964,0.9907,0.8426,0.9478,0.9565,0.8991,0.9908,0.95,0.98,20&s2_30
MFCC,70.08861168567091,0.9595,0.9484,0.982,0.9459,0.9907,0.8519,0.9565,0.9739,0.9174,0.9908,0.95,0.98,20&s2_30
MFCC,68.79347994178535,0.9466,0.9466,0.973,0.964,0.9722,0.8426,0.9652,0.9565,0.8624,0.9908,0.96,0.98,20&s2_30
MFCC,67.17134975269437,0.9503,0.9448,0.964,0.9459,1.0,0.8241,0.9565,0.9826,0.9083,0.9908,0.92,0.98,20&s2_30
MFCC,63.843435812741525,0.9521,0.9558,0.955,0.973,0.9907,0.8704,0.9652,0.9652,0.9083,0.9908,0.94,0.98,20&s2_30
MFCC,62.34177301917225,0.9503,0.9558,0.982,0.964,0.9907,0.8889,0.9391,0.9565,0.8716,0.9908,0.97,0.98,20&s2_30
MFCC,63.50454405229539,0.9595,0.9448,0.982,0.964,0.9722,0.8333,0.9565,0.9565,0.9174,0.9908,0.97,0.98,20&s2_30
MFCC,61.70924523100257,0.9466,0.954,0.982,0.955,0.9722,0.8889,0.9391,0.9565,0.8716,0.9908,0.97,0.98,20&s2_30
MFCC,51.47476119827479,0.9448,0.9521,0.982,0.9369,0.9722,0.8796,0.9478,0.9652,0.8624,0.9908,0.96,0.99,20&s2_30
MFCC,61.188404573127634,0.9503,0.9595,0.982,0.982,0.9722,0.8519,0.9478,0.9913,0.8899,0.9908,0.96,0.98,20&s2_30
SPEC,67.71438224054873,0.9503,0.9503,0.9640000000000001,0.9459,0.9815,0.8796,0.9478,0.9652,0.8807,0.9633,0.98,1.0,20&s2_30
SPEC,67.58719011396171,0.9448,0.9448,0.955,0.9369,0.963,0.8611,0.9478,0.9652,0.8991,0.9633,0.96,1.0,20&s2_30
SPEC,69.9489656863734,0.9429,0.9466,0.9459,0.9189,0.9815,0.8796,0.9391,0.9652,0.8899,0.9725,0.96,1.0,20&s2_30
SPEC,53.94222836010157,0.9319,0.93,0.9369,0.9640000000000001,0.9352,0.8241,0.9652,0.9478,0.8899,0.9174,0.93,1.0,20&s2_30
SPEC,63.229376254603274,0.9484,0.9448,0.9189,0.9369,0.9907,0.8704,0.9478,0.9565,0.9083,0.9633,0.98,1.0,20&s2_30
SPEC,63.58800822217018,0.9448,0.9392,0.9099,0.9279,0.9815,0.8704,0.9478,0.9478,0.9174,0.9541,0.97,1.0,20&s2_30
SPEC,63.311533246189356,0.9448,0.9484,0.9279,0.9459,0.9907,0.8704,0.9565,0.9565,0.8899,0.9725,0.96,1.0,20&s2_30
SPEC,59.335399616509676,0.9429,0.9466,0.955,0.9369,0.9815,0.8796,0.9565,0.9652,0.8532,0.9541,0.97,1.0,20&s2_30
SPEC,57.510883671231575,0.9466,0.9540000000000001,0.9369,0.9369,0.9907,0.8981,0.9652,0.9652,0.8624,0.9725,0.98,1.0,20&s2_30
SPEC,61.00391266215593,0.9484,0.9503,0.9279,0.9369,0.9722,0.8889,0.9478,0.9565,0.9266,0.9725,0.97,1.0,20&s2_30
MEL,67.37641756609082,0.9926,0.9797,0.982,0.982,1.0,0.9537,0.9913,0.9826,0.9908,0.9817,1.0,1.0,20&s2_30
MEL,72.37413343694061,0.9945,0.9797,0.991,0.964,1.0,0.963,0.9913,0.9826,0.9908,0.9908,1.0,1.0,20&s2_30
MEL,69.70547933131456,0.9926,0.9834,0.982,0.973,1.0,0.963,0.9913,0.9913,0.9908,0.9908,1.0,1.0,20&s2_30
MEL,65.17843420803547,0.9963,0.9797,1.0,0.973,1.0,0.9537,0.9913,0.9913,0.9908,0.9817,1.0,1.0,20&s2_30
MEL,62.915327123366296,0.9945,0.9816,0.991,0.973,1.0,0.9537,0.9913,0.9913,0.9908,0.9908,1.0,1.0,20&s2_30
MEL,60.646478712558746,0.9926,0.9816,0.991,0.973,0.9907,0.963,0.9913,0.9913,0.9908,0.9817,1.0,1.0,20&s2_30
MEL,63.31890072487295,0.9926,0.9761,0.991,0.982,1.0,0.9352,0.9913,0.9826,0.9817,0.9908,1.0,0.99,20&s2_30
MEL,60.04591871518642,0.9926,0.9816,0.982,0.973,1.0,0.9537,0.9913,0.9913,0.9908,0.9908,1.0,1.0,20&s2_30
MEL,49.992468321695924,0.9926,0.9797,0.991,0.973,0.9907,0.9537,0.9913,0.9913,0.9908,0.9908,1.0,0.99,20&s2_30
MEL,62.01584326848388,0.9963,0.9853,1.0,0.973,1.0,0.9722,0.9913,0.9913,0.9908,0.9908,1.0,1.0,20&s2_30
