Feature_Extract,Time,Partcp_Acc_p15,Command_Acc_p15,Partcp_Acc_p1,Command_Acc_p1,Partcp_Acc_p2,Command_Acc_p2,Partcp_Acc_p3,Command_Acc_p3,Partcp_Acc_p4,Command_Acc_p4,Partcp_Acc_p5,Command_Acc_p5,Size
VGG16,63.23765860870481,0.8895,0.9134,0.9189,0.9279,0.9722,0.7685,0.9217,0.9129999999999999,0.7615,0.9725,0.87,0.99,20&s2_30
VGG16,62.21207145228982,0.8803,0.9116,0.8649,0.9189,0.9722,0.7685,0.9304,0.9304,0.7339,0.9633,0.9,0.98,20&s2_30
VGG16,61.656818840652704,0.884,0.9061,0.9009,0.9279,0.9444,0.7593,0.9304,0.9217,0.7798,0.9541,0.86,0.97,20&s2_30
VGG16,61.511567888781435,0.8803,0.9263,0.8649,0.9369,0.9537,0.7963,0.887,0.9478,0.7706,0.9725,0.93,0.98,20&s2_30
VGG16,60.123125465586774,0.8785,0.9171,0.7928,0.9009,0.9537,0.787,0.9043,0.9478,0.8440000000000001,0.9817,0.9,0.97,20&s2_30
VGG16,59.73584808595479,0.884,0.919,0.9099,0.9279,0.9444,0.787,0.9217,0.9304,0.7431,0.9725,0.9,0.98,20&s2_30
VGG16,57.168745909817524,0.8803,0.9079,0.8468,0.9189,0.9444,0.7685,0.9304,0.9129999999999999,0.7798,0.9725,0.9,0.97,20&s2_30
VGG16,57.11032636743039,0.8748,0.9042,0.8288,0.8919,0.9074,0.7593,0.8957,0.9391,0.8440000000000001,0.9725,0.9,0.96,20&s2_30
VGG16,57.66208216268569,0.8766,0.9098,0.9009,0.9279,0.9537,0.7593,0.8957,0.9478,0.7706,0.945,0.86,0.97,20&s2_30
VGG16,58.18667737953364,0.8895,0.9061,0.8559,0.9009,0.9537,0.7685,0.9478,0.9129999999999999,0.789,0.9725,0.9,0.98,20&s2_30
INCEPTION_Resnet_v2,104.13442648854107,0.9024,0.9503,0.8739,0.9189,0.9537,0.8889,0.9043,0.9652,0.8349,0.9908,0.95,0.99,20&s2_30
INCEPTION_Resnet_v2,101.09650564193726,0.9061,0.9429,0.8919,0.9099,0.9444,0.8889,0.9565,0.9652,0.8165,0.9725,0.92,0.98,20&s2_30
INCEPTION_Resnet_v2,99.50697791948915,0.8913,0.9411,0.9189,0.9009,0.8981,0.8796,0.9043,0.9565,0.7982,0.9817,0.94,0.99,20&s2_30
INCEPTION_Resnet_v2,95.32155199255794,0.9042,0.9503,0.8739,0.9279,0.9537,0.8889,0.9391,0.9739,0.7798,0.9725,0.98,0.99,20&s2_30
INCEPTION_Resnet_v2,77.5643814029172,0.8803,0.9263,0.9279,0.8649,0.8889,0.8704,0.8696,0.9565,0.7982,0.9817,0.92,0.96,20&s2_30
INCEPTION_Resnet_v2,95.05792438052595,0.8987,0.9429,0.8829,0.9009,0.9352,0.8704,0.9043,0.9739,0.7982,0.9817,0.98,0.99,20&s2_30
INCEPTION_Resnet_v2,85.45204634591937,0.8913,0.9282,0.9009,0.8919,0.9074,0.8704,0.8783,0.9565,0.8349,0.9633,0.94,0.96,20&s2_30
INCEPTION_Resnet_v2,91.8549316432327,0.9042,0.9466,0.9009,0.9099,0.9537,0.8889,0.913,0.9652,0.789,0.9908,0.97,0.98,20&s2_30
INCEPTION_Resnet_v2,90.9684221195057,0.8895,0.9429,0.9189,0.9009,0.9074,0.8889,0.9217,0.9652,0.7523,0.9817,0.95,0.98,20&s2_30
INCEPTION_Resnet_v2,91.83137714583427,0.884,0.9448,0.8829,0.9189,0.9167,0.8889,0.8957,0.9565,0.8165,0.9725,0.91,0.99,20&s2_30
